mood_rating,stress_level,sleep_quality,concentration_difficulty,academic_work_pressure,social_withdrawal,energy_level,anxiety_frequency,daily_functioning_impact,composite_score,risk_category
2,1,2,3,3,3,3,2,2,24.9,Mild
2,2,2,4,3,3,3,4,3,31.5,Moderate
1,1,1,1,1,1,1,1,2,12.5,Low
1,1,2,1,1,1,1,1,1,12.1,Low
3,4,4,4,4,3,4,5,3,41.3,High
2,2,2,2,3,1,2,2,2,22.0,Mild
3,3,2,3,3,4,3,2,4,33.1,Moderate
1,2,1,1,2,2,2,2,3,19.9,Mild
2,2,3,2,2,3,3,3,3,28.1,Moderate
2,3,2,2,3,1,1,1,2,20.9,Mild
1,2,1,1,1,1,1,1,1,12.3,Low
1,2,1,2,1,1,1,1,1,13.3,Low
2,1,1,1,1,1,1,1,1,12.5,Low
1,1,1,1,1,1,2,1,2,13.5,Low
1,1,2,1,1,1,1,1,1,12.1,Low
2,3,2,2,3,3,2,1,1,22.6,Mild
1,2,1,1,1,1,1,1,1,12.3,Low
3,3,5,4,3,4,4,5,3,41.1,High
2,4,3,2,1,3,3,4,4,32.5,Moderate
3,3,3,4,3,3,3,3,4,35.5,Moderate
2,1,3,3,2,2,2,2,1,21.3,Mild
2,1,2,1,3,1,1,1,1,15.8,Low
3,2,2,2,3,2,2,2,2,24.6,Mild
1,2,2,2,3,2,2,3,1,21.5,Mild
1,1,1,2,1,1,1,1,1,12.0,Low
2,2,1,1,1,2,1,2,1,16.3,Low
4,5,4,4,4,4,4,3,4,43.9,High
1,3,2,2,1,3,2,2,3,23.3,Mild
4,2,4,3,4,3,2,1,3,31.6,Moderate
1,1,2,2,2,1,1,1,1,14.2,Low
1,1,2,1,1,1,1,1,2,13.6,Low
4,4,2,3,1,4,4,3,3,34.6,Moderate
1,1,1,1,2,1,1,2,1,13.5,Low
2,2,2,1,2,3,2,2,3,23.6,Mild
4,3,4,5,3,4,3,3,4,40.2,High
2,1,2,3,2,2,3,1,2,21.3,Mild
4,4,4,4,5,5,4,3,5,46.3,High
1,2,1,1,2,2,1,1,2,16.0,Low
3,3,1,2,2,1,2,3,2,24.0,Mild
2,2,1,2,1,2,2,1,3,19.9,Mild
3,3,3,1,2,2,1,2,2,23.9,Mild
1,1,1,1,1,2,1,1,1,12.1,Low
1,1,2,2,1,1,1,1,1,13.1,Low
4,4,4,4,4,4,4,4,3,42.5,High
2,3,3,2,1,2,2,2,2,23.3,Mild
3,3,3,3,1,3,4,2,3,30.4,Moderate
3,1,2,2,3,3,3,3,3,28.3,Moderate
1,1,2,1,1,1,1,1,1,12.1,Low
2,2,2,2,1,2,1,2,1,18.4,Low
2,2,2,2,3,2,2,1,1,20.2,Mild
1,2,1,3,1,1,1,1,1,14.3,Low
2,2,2,2,3,1,2,2,3,23.5,Mild
5,3,5,2,4,3,5,4,4,43.2,High
1,3,1,1,1,1,1,1,2,15.1,Low
2,3,2,1,1,2,2,3,2,22.6,Mild
2,1,3,1,2,1,2,2,2,19.7,Mild
3,3,4,2,2,3,3,3,3,32.0,Moderate
3,1,2,2,1,1,1,3,2,20.4,Mild
1,2,1,2,1,3,1,1,2,17.0,Low
2,3,3,2,1,2,2,2,2,23.3,Mild
1,1,1,2,1,2,2,1,1,14.1,Low
1,2,1,1,3,1,1,1,2,16.0,Low
3,3,5,4,5,5,5,4,3,44.0,High
2,2,3,1,2,2,1,3,1,21.0,Mild
2,2,2,2,1,1,3,2,2,20.8,Mild
3,4,3,3,3,2,2,4,3,33.6,Moderate
3,2,3,4,4,3,3,3,5,36.8,Moderate
3,4,2,4,5,2,4,3,2,34.8,Moderate
4,3,2,2,2,3,3,3,3,31.3,Moderate
3,3,3,3,5,2,4,3,2,33.6,Moderate
2,3,1,2,2,3,2,2,1,21.8,Mild
3,4,3,3,3,2,4,4,3,35.6,Moderate
2,3,2,2,3,1,2,1,2,21.9,Mild
3,3,2,2,2,2,3,3,4,30.2,Moderate
1,1,2,1,1,1,1,2,1,13.5,Low
2,2,2,4,2,2,2,3,1,23.9,Mild
1,1,1,1,1,1,1,2,1,12.4,Low
1,3,3,3,3,4,2,2,2,27.2,Mild
2,3,4,2,4,3,4,2,4,33.8,Moderate
2,4,2,2,3,2,4,2,2,27.7,Moderate
2,2,3,3,4,3,2,4,2,30.2,Moderate
2,1,2,2,1,2,1,1,1,15.7,Low
1,1,1,2,1,1,1,1,1,12.0,Low
2,1,2,2,1,2,2,1,2,18.2,Low
3,2,2,3,2,4,2,3,3,29.6,Moderate
2,3,1,2,2,2,2,1,2,20.8,Mild
3,3,1,3,1,2,2,3,1,23.5,Mild
3,3,2,2,3,2,2,2,2,25.9,Mild
3,4,2,1,3,3,2,2,2,27.3,Mild
1,2,1,1,1,1,1,1,2,13.8,Low
1,1,2,3,3,1,1,2,3,20.7,Mild
2,4,3,2,5,3,3,3,4,35.5,Moderate
2,3,4,3,3,2,2,2,3,29.1,Moderate
1,1,1,2,2,1,2,1,1,14.1,Low
2,1,1,1,1,1,1,1,2,14.0,Low
2,3,2,2,4,2,2,1,2,24.1,Mild
1,2,2,1,2,1,2,1,2,17.0,Low
2,3,3,3,4,2,4,3,3,32.5,Moderate
1,3,1,2,3,2,2,1,2,20.4,Mild
2,3,3,3,3,3,4,4,3,33.9,Moderate
1,1,3,1,1,1,1,1,1,13.2,Low
2,1,1,2,2,1,1,1,1,14.6,Low
2,2,3,2,2,3,2,1,2,22.8,Mild
1,1,1,2,2,1,2,1,2,15.6,Low
4,2,4,2,3,4,2,5,3,36.2,Moderate
4,3,4,3,2,3,3,4,3,35.9,Moderate
1,3,2,2,2,2,2,3,2,23.2,Mild
2,1,1,1,1,1,2,1,1,13.5,Low
3,3,2,2,2,1,1,3,3,25.6,Mild
3,3,4,4,4,3,2,2,3,33.8,Moderate
1,1,1,1,3,1,1,1,1,13.2,Low
1,2,2,2,3,2,1,3,2,22.0,Mild
1,3,3,1,1,2,1,2,1,18.3,Low
3,3,3,3,4,3,3,3,3,34.1,Moderate
2,2,2,2,3,3,2,2,2,24.2,Mild
1,2,1,1,1,1,2,2,1,14.7,Low
4,3,2,4,4,4,4,5,4,41.9,High
3,2,3,2,4,4,2,2,3,30.5,Moderate
1,2,2,1,1,1,1,1,2,14.9,Low
1,2,2,2,1,2,2,1,2,18.0,Low
1,1,1,1,1,2,3,1,1,14.1,Low
2,3,3,3,1,2,3,4,4,31.1,Moderate
2,1,1,1,2,1,1,2,1,15.0,Low
2,3,3,4,2,3,2,4,3,31.8,Moderate
1,1,1,1,2,1,1,2,1,13.5,Low
5,1,3,3,3,3,4,4,3,35.8,Moderate
2,2,2,2,2,2,2,3,2,23.4,Mild
3,3,4,2,4,3,2,3,1,30.2,Moderate
1,3,3,2,2,2,1,2,1,20.4,Mild
2,2,3,2,3,2,3,2,3,26.7,Mild
2,3,4,4,3,4,4,4,4,38.6,High
1,3,1,1,2,1,1,1,1,14.7,Low
1,1,1,1,2,1,1,2,1,13.5,Low
2,1,1,2,1,1,2,1,1,14.5,Low
2,1,2,1,2,2,2,2,3,21.2,Mild
1,1,1,1,2,1,2,2,1,14.5,Low
1,3,2,1,1,1,1,2,3,19.1,Mild
1,1,1,1,1,1,1,1,1,11.0,Low
1,1,1,1,1,1,1,1,1,11.0,Low
3,4,3,3,3,2,3,3,4,34.7,Moderate
4,3,4,4,4,4,4,4,4,42.7,High
1,1,1,1,2,2,2,2,2,17.1,Low
3,3,3,3,3,3,2,3,3,32.0,Moderate
1,2,1,1,1,1,1,1,1,12.3,Low
3,2,1,2,3,3,1,3,2,25.0,Mild
4,1,2,3,2,3,3,4,3,31.1,Moderate
3,3,3,3,3,4,2,3,3,33.1,Moderate
5,5,5,4,5,4,2,4,5,48.5,High
2,2,1,1,2,2,3,2,2,20.9,Mild
4,5,4,5,3,3,4,3,3,41.2,High
2,2,2,2,2,1,2,2,2,20.9,Mild
1,1,1,1,1,2,1,2,1,13.5,Low
4,5,3,2,2,4,3,3,3,36.1,Moderate
1,1,3,3,2,3,2,3,2,23.8,Mild
1,1,1,1,2,2,1,1,1,13.2,Low
2,3,3,2,3,1,1,1,3,23.5,Mild
2,2,2,2,1,2,1,3,3,22.8,Mild
1,1,1,1,1,2,2,1,1,13.1,Low
1,1,1,1,1,2,1,1,1,12.1,Low
3,2,2,2,2,3,1,4,2,26.4,Mild
3,5,5,4,4,5,3,3,5,45.1,High
2,2,2,2,3,1,3,3,2,24.4,Mild
3,4,3,4,5,4,4,5,4,43.9,High
1,2,1,2,1,2,2,1,2,16.9,Low
2,2,1,1,1,1,1,1,1,13.8,Low
1,1,1,1,1,1,1,2,1,12.4,Low
1,1,1,1,1,1,1,1,1,11.0,Low
1,1,2,2,1,1,3,2,1,16.5,Low
1,1,1,2,1,1,1,1,2,13.5,Low
1,1,1,2,1,2,1,1,1,13.1,Low
4,2,4,4,4,2,3,3,4,36.8,Moderate
1,1,1,1,1,2,3,4,2,19.8,Mild
4,4,4,4,4,4,4,5,4,45.4,High
3,2,3,4,4,4,3,3,4,36.4,Moderate
1,2,2,2,2,1,1,1,1,15.5,Low
1,1,3,1,1,1,2,2,2,17.1,Low
2,2,2,2,2,1,2,2,2,20.9,Mild
4,4,5,5,5,5,5,4,4,49.3,High
3,3,5,1,3,4,4,5,3,38.1,High
3,3,2,2,3,2,3,3,2,28.3,Moderate
2,2,2,3,2,1,3,2,2,22.9,Mild
3,3,2,4,3,3,3,2,2,30.0,Moderate
3,4,3,3,1,4,3,3,4,34.7,Moderate
4,3,3,3,2,3,3,4,2,33.3,Moderate
3,3,3,1,3,3,2,2,1,25.6,Mild
5,4,5,3,3,4,3,4,3,42.0,High
2,1,2,1,1,1,1,3,1,16.4,Low
2,2,2,2,2,2,2,1,2,20.6,Mild
3,1,1,1,1,3,2,3,2,21.5,Mild
3,2,4,3,2,3,3,4,2,31.6,Moderate
5,4,4,4,5,3,4,3,4,44.1,High
2,1,2,2,1,2,2,2,1,18.1,Low
3,2,3,3,2,1,1,2,2,23.5,Mild
2,1,1,1,1,1,1,2,1,13.9,Low
2,2,3,1,1,3,2,2,2,22.1,Mild
3,4,2,3,4,2,4,3,2,32.7,Moderate
3,2,2,3,2,2,3,3,2,26.9,Mild
2,1,2,1,2,3,1,1,1,16.9,Low
5,4,3,3,3,3,5,5,3,42.1,High
2,2,2,2,3,1,3,2,2,23.0,Mild
3,3,3,3,3,2,2,2,3,29.5,Moderate
1,1,1,1,1,1,1,1,1,11.0,Low
4,4,3,3,3,3,3,3,3,35.8,Moderate
2,2,4,3,2,2,3,2,2,26.2,Mild
1,1,2,3,1,1,1,2,1,15.5,Low
4,2,3,3,4,2,4,4,3,35.6,Moderate
3,3,2,3,2,3,1,2,2,25.9,Mild
3,2,2,3,4,3,3,3,3,31.7,Moderate
3,2,3,2,2,2,2,2,1,23.1,Mild
1,1,3,1,3,2,1,2,2,19.4,Mild
3,4,3,4,3,2,4,5,3,38.0,High
4,4,4,4,3,4,5,4,4,43.9,High
1,1,1,1,2,1,2,1,2,14.6,Low
2,3,3,2,5,2,3,4,3,33.0,Moderate
3,4,2,4,3,2,4,3,4,35.6,Moderate
3,3,3,4,3,3,2,3,3,33.0,Moderate
1,1,1,1,1,2,1,2,1,13.5,Low
1,3,2,2,3,2,2,2,2,22.9,Mild
4,3,4,2,4,1,3,2,3,32.1,Moderate
4,5,3,4,4,4,4,3,5,44.3,High
1,2,1,2,1,2,1,2,3,18.8,Mild
2,1,1,1,2,2,3,1,1,16.7,Low
2,2,1,3,2,3,2,2,2,23.0,Mild
1,1,1,1,3,2,1,2,2,17.2,Low
3,5,4,3,3,4,4,4,4,41.7,High
3,3,5,4,5,2,4,5,4,42.6,High
4,4,5,3,4,2,4,4,4,41.9,High
1,1,2,3,2,3,2,1,1,18.4,Low
1,2,1,1,1,1,2,2,1,14.7,Low
2,1,4,4,2,3,3,3,3,29.9,Moderate
4,4,4,5,5,3,3,4,3,42.5,High
1,1,2,2,2,3,3,3,2,22.7,Mild
2,1,2,1,1,1,1,1,2,15.1,Low
3,5,4,3,4,3,3,5,5,43.6,High
1,1,1,1,1,1,1,1,1,11.0,Low
2,1,2,1,1,1,1,1,1,13.6,Low
1,1,1,1,2,1,1,1,2,13.6,Low
2,1,1,1,1,1,1,2,1,13.9,Low
3,1,1,2,1,2,1,3,2,20.4,Mild
1,1,1,1,1,2,1,1,2,13.6,Low
2,1,2,2,2,1,2,2,2,19.6,Mild
2,2,3,4,2,4,3,4,3,32.6,Moderate
2,1,2,2,2,1,2,1,2,18.2,Low
3,1,1,3,2,2,2,3,2,23.5,Mild
1,2,2,3,2,2,2,1,2,20.1,Mild
2,1,1,1,1,1,1,1,1,12.5,Low
1,2,1,2,3,3,3,2,2,22.6,Mild
4,4,4,4,4,4,4,5,4,45.4,High
4,4,2,4,4,3,3,3,3,36.8,Moderate
2,2,2,3,2,3,3,4,3,29.4,Moderate
4,4,3,4,5,4,5,2,3,40.7,High
3,2,2,3,2,2,2,2,1,23.0,Mild
1,1,2,1,1,2,1,1,1,13.2,Low
4,4,4,3,3,4,3,3,3,38.0,High
1,2,3,1,3,3,2,1,2,21.4,Mild
3,2,3,3,2,2,2,3,2,27.0,Mild
3,3,4,3,4,2,4,3,4,36.6,Moderate
2,2,1,1,2,2,3,1,2,19.5,Mild
4,3,3,4,4,3,5,3,3,38.6,High
3,2,2,2,2,2,2,2,1,22.0,Mild
